variety_id,variety_slug,category,companion_name,relationship,reason
3,san-marzano,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
3,san-marzano,tomato,Marigold,beneficial,Deters nematodes and repels tomato hornworms
3,san-marzano,tomato,Carrots,beneficial,Loosens soil for tomato roots and doesn't compete for nutrients
3,san-marzano,tomato,Parsley,beneficial,Attracts beneficial insects that prey on tomato pests
3,san-marzano,tomato,Chives,beneficial,Repels aphids and may improve tomato growth
3,san-marzano,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and repels cucumber beetles
3,san-marzano,tomato,Oregano,beneficial,Repels pests and may enhance tomato flavor
3,san-marzano,tomato,Borage,beneficial,Deters tomato hornworms and attracts pollinators
3,san-marzano,tomato,Black Walnut,harmful,Releases juglone which causes tomato wilt and stunted growth
3,san-marzano,tomato,Fennel,harmful,Inhibits tomato growth through allelopathic compounds
3,san-marzano,tomato,Brassicas,harmful,Compete for nutrients and may stunt tomato growth
4,celebrity,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor"
4,celebrity,tomato,Marigold,beneficial,Deters nematodes and many pest insects with natural compounds
4,celebrity,tomato,Carrots,beneficial,Helps loosen soil around tomato roots and doesn't compete for nutrients
4,celebrity,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies that prey on tomato pests
4,celebrity,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
4,celebrity,tomato,Chives,beneficial,Repels aphids and may help prevent fungal diseases
4,celebrity,tomato,Lettuce,beneficial,Benefits from tomato shade and doesn't compete for deep nutrients
4,celebrity,tomato,Borage,beneficial,"Attracts pollinators and beneficial insects, may repel hornworms"
4,celebrity,tomato,Black Walnut,harmful,Produces juglone which is toxic to tomatoes and causes wilting
4,celebrity,tomato,Fennel,harmful,Inhibits growth of most garden plants through allelopathy
4,celebrity,tomato,Brassicas,harmful,Compete for similar nutrients and may stunt tomato growth
4,celebrity,tomato,Corn,harmful,"Both attract corn earworms and hornworms, creating pest concentration"
5,brandywine,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor"
5,brandywine,tomato,Marigold,beneficial,Deters nematodes and aphids with natural compounds
5,brandywine,tomato,Oregano,beneficial,Repels spider mites and provides ground cover
5,brandywine,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
5,brandywine,tomato,Carrots,beneficial,Help break up soil and don't compete for nutrients
5,brandywine,tomato,Chives,beneficial,Repel aphids and may reduce fungal diseases
5,brandywine,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
5,brandywine,tomato,Lettuce,beneficial,Provides living mulch and utilizes different soil levels
5,brandywine,tomato,Black Walnut,harmful,Produces juglone toxin that causes tomato wilt and stunted growth
5,brandywine,tomato,Fennel,harmful,Inhibits growth through allelopathic compounds
5,brandywine,tomato,Brassicas,harmful,Compete for nutrients and may stunt tomato growth
5,brandywine,tomato,Corn,harmful,Both attract corn earworm and compete for similar nutrients
8,roma,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor and growth"
8,roma,tomato,Marigold,beneficial,"Deters nematodes, aphids, and whiteflies with natural compounds"
8,roma,tomato,Carrots,beneficial,"Helps break up soil for tomato roots, doesn't compete for nutrients"
8,roma,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies that prey on tomato pests
8,roma,tomato,Chives,beneficial,Repels aphids and may improve tomato flavor and growth
8,roma,tomato,Nasturtiums,beneficial,"Acts as trap crop for aphids and cucumber beetles, repels whiteflies"
8,roma,tomato,Borage,beneficial,"Deters hornworms and attracts pollinators, may improve tomato flavor"
8,roma,tomato,Garlic,beneficial,Natural fungicide properties help prevent blight and repel various pests
8,roma,tomato,Black Walnut,harmful,Releases juglone toxin that causes tomato wilt and stunted growth
8,roma,tomato,Fennel,harmful,Inhibits growth of tomatoes through allelopathic compounds
8,roma,tomato,Brassicas,harmful,Compete heavily for nutrients and may stunt tomato growth
8,roma,tomato,Corn,harmful,"Both attract corn earworm/tomato fruitworm, creating pest problems"
9,cherry-belle,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
9,cherry-belle,tomato,Marigold,beneficial,Deters nematodes and aphids with natural compounds
9,cherry-belle,tomato,Carrots,beneficial,Loosens soil for tomato roots and doesn't compete for nutrients
9,cherry-belle,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
9,cherry-belle,tomato,Chives,beneficial,Repels aphids and may improve tomato growth and flavor
9,cherry-belle,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
9,cherry-belle,tomato,Lettuce,beneficial,Provides ground cover and doesn't compete for space or nutrients
9,cherry-belle,tomato,Oregano,beneficial,Repels various pests and may enhance tomato flavor
9,cherry-belle,tomato,Black Walnut,harmful,Produces juglone toxin that causes tomato wilt and stunted growth
9,cherry-belle,tomato,Fennel,harmful,Inhibits tomato growth through allelopathic compounds
9,cherry-belle,tomato,Corn,harmful,Both attract corn earworm and compete for similar nutrients
9,cherry-belle,tomato,Brassicas,harmful,May stunt tomato growth and compete for soil nutrients
11,early-girl,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
11,early-girl,tomato,Marigold,beneficial,Deters nematodes and aphids with natural compounds
11,early-girl,tomato,Carrots,beneficial,"Loosens soil for tomato roots, doesn't compete for space"
11,early-girl,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
11,early-girl,tomato,Chives,beneficial,Repels aphids and may reduce fungal diseases
11,early-girl,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
11,early-girl,tomato,Borage,beneficial,Repels tomato hornworms and attracts pollinators
11,early-girl,tomato,Lettuce,beneficial,"Benefits from tomato shade, efficient use of garden space"
11,early-girl,tomato,Black Walnut,harmful,Produces juglone toxin that causes tomato wilt and stunting
11,early-girl,tomato,Fennel,harmful,Inhibits growth through allelopathic compounds
11,early-girl,tomato,Brassicas,harmful,Compete for nutrients and may stunt tomato growth
11,early-girl,tomato,Corn,harmful,Both attract corn earworms and tomato hornworms
12,big-beef,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor"
12,big-beef,tomato,Marigolds,beneficial,Repel nematodes and other harmful insects
12,big-beef,tomato,Carrots,beneficial,Help break up soil and don't compete for nutrients
12,big-beef,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
12,big-beef,tomato,Nasturtiums,beneficial,Act as trap crop for aphids and cucumber beetles
12,big-beef,tomato,Chives,beneficial,Repel aphids and may reduce fungal diseases
12,big-beef,tomato,Borage,beneficial,Repels tomato hornworm and may improve tomato growth
12,big-beef,tomato,Lettuce,beneficial,Benefits from tomato shade and doesn't compete for nutrients
12,big-beef,tomato,Black Walnut,harmful,Produces juglone which is toxic to tomatoes
12,big-beef,tomato,Fennel,harmful,Inhibits growth of most garden plants through allelopathy
12,big-beef,tomato,Brassicas,harmful,Compete for nutrients and may stunt tomato growth
12,big-beef,tomato,Corn,harmful,Both attract corn earworm and compete for similar nutrients
15,green-zebra,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor"
15,green-zebra,tomato,Marigolds,beneficial,Deter nematodes and whiteflies with natural compounds
15,green-zebra,tomato,Carrots,beneficial,"Help break up soil for tomato roots, don't compete for nutrients"
15,green-zebra,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies that eat aphids
15,green-zebra,tomato,Chives,beneficial,Repel aphids and may improve tomato growth and flavor
15,green-zebra,tomato,Nasturtiums,beneficial,Act as trap crop for aphids and cucumber beetles
15,green-zebra,tomato,Oregano,beneficial,Repels pests and may enhance tomato flavor through companion effect
15,green-zebra,tomato,Lettuce,beneficial,Benefits from tomato shade and doesn't compete for deep nutrients
15,green-zebra,tomato,Black Walnut,harmful,Releases juglone toxin that causes tomato wilt and stunted growth
15,green-zebra,tomato,Fennel,harmful,Inhibits growth of most garden plants through allelopathy
15,green-zebra,tomato,Corn,harmful,"Both attract corn earworm, creating concentrated pest problems"
15,green-zebra,tomato,Brassicas,harmful,Compete for similar nutrients and may stunt tomato growth
16,beefsteak,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
16,beefsteak,tomato,Marigold,beneficial,Deters nematodes and repels hornworms and other pests
16,beefsteak,tomato,Carrots,beneficial,Loosens soil around tomato roots and doesn't compete for space
16,beefsteak,tomato,Parsley,beneficial,Attracts beneficial insects and acts as living mulch
16,beefsteak,tomato,Peppers,beneficial,Similar growing requirements and compatible root systems
16,beefsteak,tomato,Oregano,beneficial,Repels aphids and spider mites while attracting pollinators
16,beefsteak,tomato,Chives,beneficial,Repels aphids and may help prevent fungal diseases
16,beefsteak,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
16,beefsteak,tomato,Black Walnut,harmful,Produces juglone toxin that causes tomato wilt and death
16,beefsteak,tomato,Fennel,harmful,Inhibits tomato growth through allelopathic compounds
16,beefsteak,tomato,Corn,harmful,Both attract corn earworms and compete for similar nutrients
16,beefsteak,tomato,Brassicas,harmful,Heavy nitrogen feeders that compete with tomatoes for nutrients
17,mortgage-lifter,tomato,Basil,beneficial,"Repels aphids, whiteflies, and hornworms while potentially improving tomato flavor"
17,mortgage-lifter,tomato,Marigolds,beneficial,"Repel nematodes, aphids, and whiteflies with their natural compounds"
17,mortgage-lifter,tomato,Carrots,beneficial,Help break up soil for better root growth and don't compete for nutrients
17,mortgage-lifter,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
17,mortgage-lifter,tomato,Chives,beneficial,Repel aphids and may help prevent fungal diseases
17,mortgage-lifter,tomato,Nasturtiums,beneficial,Act as trap crop for aphids and cucumber beetles while repelling whiteflies
17,mortgage-lifter,tomato,Oregano,beneficial,Repels many pests and attracts beneficial pollinators
17,mortgage-lifter,tomato,Borage,beneficial,Attracts pollinators and beneficial insects while potentially improving tomato growth
17,mortgage-lifter,tomato,Black Walnut Trees,harmful,Release juglone toxin that causes tomato wilt and stunted growth
17,mortgage-lifter,tomato,Fennel,harmful,Inhibits growth of tomatoes through allelopathic compounds
17,mortgage-lifter,tomato,Brassicas (Cabbage family),harmful,Compete heavily for nutrients and may stunt tomato growth
18,stupice,tomato,Basil,beneficial,"Repels aphids, whiteflies, and hornworms while potentially improving tomato flavor"
18,stupice,tomato,Marigold,beneficial,"Deters nematodes, aphids, and whiteflies with natural compounds"
18,stupice,tomato,Carrots,beneficial,Helps break up soil for tomato roots and doesn't compete for nutrients
18,stupice,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies that prey on tomato pests
18,stupice,tomato,Chives,beneficial,Repels aphids and may help prevent fungal diseases
18,stupice,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles while repelling whiteflies
18,stupice,tomato,Lettuce,beneficial,Provides ground cover and efficient use of space without competing for resources
18,stupice,tomato,Borage,beneficial,"Repels hornworms and attracts pollinators, may improve tomato growth"
18,stupice,tomato,Black Walnut Trees,harmful,Produces juglone which is toxic to tomatoes and causes wilting
18,stupice,tomato,Fennel,harmful,Inhibits growth of most garden plants including tomatoes through allelopathy
18,stupice,tomato,Brassicas,harmful,Competes heavily for nutrients and may stunt tomato growth
18,stupice,tomato,Corn,harmful,"Both attract corn earworm/tomato fruitworm, increasing pest pressure"
19,black-krim,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
19,black-krim,tomato,Marigold,beneficial,Deters nematodes and aphids with natural compounds
19,black-krim,tomato,Oregano,beneficial,Repels spider mites and provides ground cover
19,black-krim,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
19,black-krim,tomato,Carrots,beneficial,Help break up soil and don't compete for nutrients
19,black-krim,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
19,black-krim,tomato,Chives,beneficial,Repels aphids and may improve disease resistance
19,black-krim,tomato,Lettuce,beneficial,Provides living mulch and utilizes different soil layers
19,black-krim,tomato,Black Walnut,harmful,Releases juglone toxin that causes tomato wilt and stunting
19,black-krim,tomato,Fennel,harmful,Inhibits growth through allelopathic compounds
19,black-krim,tomato,Brassicas,harmful,Compete for similar nutrients and may stunt tomato growth
19,black-krim,tomato,Corn,harmful,Both attract corn earworm which also damages tomatoes
20,yellow-pear,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
20,yellow-pear,tomato,Marigold,beneficial,Deters nematodes and aphids with natural compounds
20,yellow-pear,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
20,yellow-pear,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
20,yellow-pear,tomato,Carrots,beneficial,Loosens soil around tomato roots and doesn't compete for nutrients
20,yellow-pear,tomato,Chives,beneficial,Repels aphids and may reduce fungal diseases
20,yellow-pear,tomato,Borage,beneficial,Attracts pollinators and may deter tomato hornworms
20,yellow-pear,tomato,Lettuce,beneficial,Benefits from tomato shade and efficient use of garden space
20,yellow-pear,tomato,Black Walnut,harmful,Produces juglone which is toxic to tomatoes and causes wilting
20,yellow-pear,tomato,Brassicas,harmful,Compete heavily for nutrients and may stunt tomato growth
20,yellow-pear,tomato,Fennel,harmful,Inhibits growth of tomatoes through allelopathic compounds
21,rutgers,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor"
21,rutgers,tomato,Marigold,beneficial,Deters nematodes and aphids with natural compounds
21,rutgers,tomato,Carrots,beneficial,"Loosens soil for tomato roots, doesn't compete for space"
21,rutgers,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies that eat aphids
21,rutgers,tomato,Chives,beneficial,Repels aphids and may improve tomato flavor
21,rutgers,tomato,Nasturtiums,beneficial,Acts as trap crop for aphids and cucumber beetles
21,rutgers,tomato,Oregano,beneficial,Repels pests and may enhance tomato growth
21,rutgers,tomato,Borage,beneficial,Attracts pollinators and may repel hornworms
21,rutgers,tomato,Black Walnut,harmful,Produces juglone toxin that causes tomato wilt and death
21,rutgers,tomato,Fennel,harmful,Inhibits growth of most garden plants through allelopathy
21,rutgers,tomato,Brassicas,harmful,"Heavy feeders that compete for nutrients, may stunt tomato growth"
21,rutgers,tomato,Corn,harmful,"Both attract corn earworm, creating concentrated pest problems"
22,patio-princess,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
22,patio-princess,tomato,Marigold,beneficial,"Deters nematodes, whiteflies, and other tomato pests"
22,patio-princess,tomato,Parsley,beneficial,Attracts beneficial insects and doesn't compete for nutrients
22,patio-princess,tomato,Carrots,beneficial,Loosens soil for tomato roots and doesn't compete for space
22,patio-princess,tomato,Chives,beneficial,Repels aphids and may improve tomato growth and flavor
22,patio-princess,tomato,Nasturtiums,beneficial,Acts as trap crop for aphids and cucumber beetles
22,patio-princess,tomato,Lettuce,beneficial,Provides ground cover and utilizes space efficiently in containers
22,patio-princess,tomato,Oregano,beneficial,Repels various insects and may enhance tomato flavor
22,patio-princess,tomato,Black Walnut,harmful,Releases juglone toxin that stunts tomato growth and causes wilting
22,patio-princess,tomato,Fennel,harmful,Inhibits growth of most garden plants through allelopathy
22,patio-princess,tomato,Brassicas,harmful,Compete for nutrients and may stunt tomato growth when planted nearby
23,amish-paste,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
23,amish-paste,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
23,amish-paste,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
23,amish-paste,tomato,Carrots,beneficial,Helps break up soil without competing for nutrients
23,amish-paste,tomato,Oregano,beneficial,Repels aphids and provides ground cover to retain moisture
23,amish-paste,tomato,Borage,beneficial,Attracts pollinators and may repel tomato hornworms
23,amish-paste,tomato,Black Walnut,harmful,Produces juglone toxin that causes tomato wilt and stunted growth
23,amish-paste,tomato,Fennel,harmful,Inhibits growth of most garden plants through allelopathy
23,amish-paste,tomato,Brassicas,harmful,Compete for similar nutrients and may stunt tomato growth
23,amish-paste,tomato,Corn,harmful,"Both attract corn earworm/tomato fruitworm, increasing pest pressure"
23,amish-paste,tomato,Marigold,beneficial,Deters nematodes and whiteflies with natural compounds
23,amish-paste,tomato,Chives,beneficial,Repels aphids and may improve tomato growth and flavor
24,mountain-fresh-plus,tomato,Basil,beneficial,"Repels aphids, whiteflies, and hornworms while potentially improving tomato flavor"
24,mountain-fresh-plus,tomato,Marigolds,beneficial,"Deters nematodes, aphids, and whiteflies with natural compounds"
24,mountain-fresh-plus,tomato,Carrots,beneficial,Helps aerate soil around tomato roots and doesn't compete for nutrients
24,mountain-fresh-plus,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies that control aphids
24,mountain-fresh-plus,tomato,Nasturtiums,beneficial,"Acts as trap crop for aphids and cucumber beetles, repels whiteflies"
24,mountain-fresh-plus,tomato,Chives,beneficial,Repels aphids and may help prevent fungal diseases
24,mountain-fresh-plus,tomato,Oregano,beneficial,Provides ground cover and repels various pests including spider mites
24,mountain-fresh-plus,tomato,Borage,beneficial,"Attracts pollinators and beneficial insects, may improve tomato growth"
24,mountain-fresh-plus,tomato,Black Walnut,harmful,Releases juglone toxin that causes wilting and stunted growth in tomatoes
24,mountain-fresh-plus,tomato,Fennel,harmful,Inhibits tomato growth through allelopathic compounds
24,mountain-fresh-plus,tomato,Brassicas,harmful,Cabbage family plants can stunt tomato growth and attract different pests
24,mountain-fresh-plus,tomato,Corn,harmful,"Both attract corn earworm/tomato fruitworm, increasing pest pressure"
25,surefire-red,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor"
25,surefire-red,tomato,Marigold,beneficial,Deters nematodes and aphids with natural compounds
25,surefire-red,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
25,surefire-red,tomato,Chives,beneficial,Repels aphids and may improve tomato flavor
25,surefire-red,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
25,surefire-red,tomato,Carrots,beneficial,Help break up soil around tomato roots and don't compete for nutrients
25,surefire-red,tomato,Borage,beneficial,Repels tomato hornworms and attracts pollinators
25,surefire-red,tomato,Oregano,beneficial,Repels various pests and may enhance tomato growth
25,surefire-red,tomato,Black Walnut,harmful,Produces juglone toxin that causes wilting and stunted growth
25,surefire-red,tomato,Fennel,harmful,Inhibits growth of most garden plants through allelopathy
25,surefire-red,tomato,Corn,harmful,Both attract corn earworm which also damages tomatoes
25,surefire-red,tomato,Brassicas,harmful,Stunts tomato growth and competes for similar nutrients
26,bell-pepper-california-wonder,pepper,Basil,beneficial,"Repels aphids, spider mites, and thrips while potentially improving pepper flavor"
26,bell-pepper-california-wonder,pepper,Tomatoes,beneficial,Share similar growing conditions and can help confuse pests through companion diversity
26,bell-pepper-california-wonder,pepper,Marigolds,beneficial,"Repel nematodes, aphids, and whiteflies with their strong scent"
26,bell-pepper-california-wonder,pepper,Oregano,beneficial,Deters cucumber beetles and aphids while attracting beneficial insects
26,bell-pepper-california-wonder,pepper,Carrots,beneficial,Help break up soil around pepper roots and don't compete for nutrients
26,bell-pepper-california-wonder,pepper,Onions,beneficial,"Repel aphids, thrips, and other pests with their sulfur compounds"
26,bell-pepper-california-wonder,pepper,Nasturtiums,beneficial,"Act as trap crops for aphids and cucumber beetles, drawing them away from peppers"
26,bell-pepper-california-wonder,pepper,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps that control pepper pests
26,bell-pepper-california-wonder,pepper,Black Walnut Trees,harmful,Produce juglone toxin that inhibits pepper growth and can cause wilting
26,bell-pepper-california-wonder,pepper,Fennel,harmful,Releases allelopathic compounds that stunt growth of peppers and most vegetables
26,bell-pepper-california-wonder,pepper,Brassicas,harmful,Compete heavily for nutrients and can inhibit pepper growth through root competition
29,banana-pepper-sweet-banana,pepper,Basil,beneficial,"Repels aphids, spider mites, and thrips while potentially improving pepper flavor"
29,banana-pepper-sweet-banana,pepper,Tomatoes,beneficial,"Similar growing requirements and can share space efficiently, mutual pest deterrence"
29,banana-pepper-sweet-banana,pepper,Marigolds,beneficial,"Repel nematodes, aphids, and whiteflies with their strong scent"
29,banana-pepper-sweet-banana,pepper,Oregano,beneficial,Deters pests like aphids and spider mites while attracting beneficial insects
29,banana-pepper-sweet-banana,pepper,Carrots,beneficial,Help break up soil for pepper roots and don't compete for nutrients
29,banana-pepper-sweet-banana,pepper,Onions,beneficial,"Repel aphids, thrips, and other pests that commonly attack peppers"
29,banana-pepper-sweet-banana,pepper,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps that control pepper pests
29,banana-pepper-sweet-banana,pepper,Nasturtiums,beneficial,"Act as trap crops for aphids and cucumber beetles, protecting peppers"
29,banana-pepper-sweet-banana,pepper,Black Walnut,harmful,Produces juglone toxin that inhibits pepper growth and can cause wilting
29,banana-pepper-sweet-banana,pepper,Fennel,harmful,Allelopathic properties inhibit growth of peppers and most other garden plants
29,banana-pepper-sweet-banana,pepper,Brassicas,harmful,Heavy nitrogen feeders that compete with peppers and may stunt their growth
33,sweet-pepper-cubanelle,pepper,Nasturtiums,beneficial,Act as trap crop for aphids and cucumber beetles while repelling whiteflies
33,sweet-pepper-cubanelle,pepper,Fennel,harmful,Releases allelopathic compounds that inhibit pepper growth and development
33,sweet-pepper-cubanelle,pepper,Basil,beneficial,"Repels aphids, spider mites, and thrips while potentially improving pepper flavor"
33,sweet-pepper-cubanelle,pepper,Tomatoes,beneficial,Share similar growing conditions and can help shade pepper roots from intense sun
33,sweet-pepper-cubanelle,pepper,Marigolds,beneficial,"Repel nematodes, aphids, and whiteflies while attracting beneficial insects"
33,sweet-pepper-cubanelle,pepper,Oregano,beneficial,Deters pests like aphids and spider mites with strong aromatic compounds
33,sweet-pepper-cubanelle,pepper,Carrots,beneficial,Help break up soil for pepper roots and don't compete for nutrients
33,sweet-pepper-cubanelle,pepper,Onions,beneficial,"Repel aphids, cutworms, and other pests that commonly attack peppers"
33,sweet-pepper-cubanelle,pepper,Parsley,beneficial,Attracts beneficial insects like parasitic wasps that control pepper pests
33,sweet-pepper-cubanelle,pepper,Black Walnut,harmful,Produces juglone toxin that severely stunts or kills pepper plants
33,sweet-pepper-cubanelle,pepper,Brassicas,harmful,Compete heavily for nutrients and may stunt pepper growth through root competition
38,sweet-pepper-california-wonder,pepper,Basil,beneficial,"Repels aphids, spider mites, and thrips while potentially improving pepper flavor"
38,sweet-pepper-california-wonder,pepper,Tomatoes,beneficial,"Similar growing requirements and can share space efficiently, both benefit from same soil conditions"
38,sweet-pepper-california-wonder,pepper,Oregano,beneficial,Repels aphids and provides ground cover to retain soil moisture
38,sweet-pepper-california-wonder,pepper,Parsley,beneficial,Attracts beneficial insects like hoverflies that prey on pepper pests
38,sweet-pepper-california-wonder,pepper,Carrots,beneficial,Helps break up soil for pepper roots and doesn't compete for nutrients
38,sweet-pepper-california-wonder,pepper,Onions,beneficial,"Repels aphids, thrips, and other soft-bodied insects that damage peppers"
38,sweet-pepper-california-wonder,pepper,Marigolds,beneficial,"Deters nematodes, aphids, and whiteflies with their strong scent"
38,sweet-pepper-california-wonder,pepper,Nasturtiums,beneficial,"Acts as trap crop for aphids and cucumber beetles, drawing them away from peppers"
38,sweet-pepper-california-wonder,pepper,Black Walnut Trees,harmful,Releases juglone toxin that stunts pepper growth and can kill plants
38,sweet-pepper-california-wonder,pepper,Fennel,harmful,Produces allelopathic compounds that inhibit pepper growth and development
38,sweet-pepper-california-wonder,pepper,Brassicas,harmful,Compete heavily for nutrients and can stunt pepper growth due to different soil pH preferences
38,sweet-pepper-california-wonder,pepper,Apricot Trees,harmful,Can harbor verticillium wilt which easily spreads to peppers
42,sweet-italian-pepper-marconi-rosso,pepper,Basil,beneficial,"Repels aphids, spider mites, and thrips while potentially improving pepper flavor"
42,sweet-italian-pepper-marconi-rosso,pepper,Tomatoes,beneficial,Share similar growing requirements and can help shade pepper roots from intense heat
42,sweet-italian-pepper-marconi-rosso,pepper,Marigolds,beneficial,"Repel nematodes, aphids, and whiteflies with their strong scent"
42,sweet-italian-pepper-marconi-rosso,pepper,Oregano,beneficial,Deters pests like cucumber beetles and provides ground cover to retain soil moisture
42,sweet-italian-pepper-marconi-rosso,pepper,Carrots,beneficial,Help break up compacted soil with their taproots and don't compete for nutrients
42,sweet-italian-pepper-marconi-rosso,pepper,Onions,beneficial,"Repel aphids, spider mites, and other pests with sulfur compounds"
42,sweet-italian-pepper-marconi-rosso,pepper,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps that control pepper pests
42,sweet-italian-pepper-marconi-rosso,pepper,Nasturtiums,beneficial,Act as trap crops for aphids and cucumber beetles while attracting beneficial predators
42,sweet-italian-pepper-marconi-rosso,pepper,Black Walnut,harmful,"Produces juglone, a chemical toxic to peppers and other nightshade family plants"
42,sweet-italian-pepper-marconi-rosso,pepper,Fennel,harmful,Releases allelopathic compounds that inhibit growth of peppers and most vegetables
42,sweet-italian-pepper-marconi-rosso,pepper,Brassicas,harmful,Compete heavily for nutrients and may stunt pepper growth due to different soil pH preferences
45,purple-beauty-bell-pepper,pepper,Basil,beneficial,"Repels aphids, thrips, and hornworms while potentially improving pepper flavor"
45,purple-beauty-bell-pepper,pepper,Marigold,beneficial,"Deters nematodes, aphids, and whiteflies with strong scent compounds"
45,purple-beauty-bell-pepper,pepper,Tomato,beneficial,Similar growing requirements and can share support structures
45,purple-beauty-bell-pepper,pepper,Oregano,beneficial,Repels aphids and spider mites while attracting beneficial insects
45,purple-beauty-bell-pepper,pepper,Parsley,beneficial,Attracts beneficial predatory insects like hoverflies and parasitic wasps
